"name","file","start_line","end_line","scope"
"index","sqli/views.py",23,23,"Module sqli.views"
"get","sqli/dao/course.py",16,16,"Class Course"
"get","sqli/dao/student.py",15,15,"Class Student"
"get","sqli/dao/user.py",21,21,"Class User"
"session_middleware","sqli/middlewares.py",13,13,"Module sqli.middlewares"
"setup_database","sqli/services/db.py",5,5,"Module sqli.services.db"
"setup_redis","sqli/services/redis.py",5,5,"Module sqli.services.redis"
"csrf_processor","sqli/utils/jinja2.py",8,8,"Module sqli.utils.jinja2"
"auth_user_processor","sqli/utils/jinja2.py",19,19,"Module sqli.utils.jinja2"
"setup_routes","sqli/routes.py",9,9,"Module sqli.routes"
"init","sqli/app.py",16,16,"Module sqli.app"
"authorize","sqli/utils/auth.py",12,12,"Module sqli.utils.auth"
"__decorator__","sqli/utils/auth.py",13,13,"Function authorize"
"__wrapper__","sqli/utils/auth.py",15,15,"Function __decorator__"
"get_auth_user","sqli/utils/auth.py",26,26,"Module sqli.utils.auth"
"from_raw","sqli/dao/course.py",12,12,"Class Course"
"from_raw","sqli/dao/student.py",11,11,"Class Student"
"from_raw","sqli/dao/user.py",17,17,"Class User"
"from_raw","sqli/dao/mark.py",15,15,"Class Mark"
"from_raw","sqli/dao/review.py",14,14,"Class Review"
"get_many","sqli/dao/course.py",26,27,"Class Course"
"get_many","sqli/dao/student.py",25,26,"Class Student"
"listcomp","sqli/dao/course.py",39,39,"Function get_many"
"listcomp","sqli/views.py",75,79,"Function student"
"listcomp","sqli/dao/student.py",38,38,"Function get_many"
"listcomp","sqli/dao/mark.py",27,27,"Function get_for_student"
"listcomp","sqli/dao/review.py",26,26,"Function get_for_course"
"create","sqli/dao/course.py",42,43,"Class Course"
"create","sqli/dao/student.py",41,41,"Class Student"
"create","sqli/dao/mark.py",30,31,"Class Mark"
"create","sqli/dao/review.py",29,30,"Class Review"
"_init_pg","sqli/services/db.py",12,12,"Module sqli.services.db"
"_close_pg","sqli/services/db.py",23,23,"Module sqli.services.db"
"csrf_token","sqli/utils/jinja2.py",11,11,"Function csrf_processor"
"get_for_student","sqli/dao/mark.py",19,19,"Class Mark"
"middleware","sqli/middlewares.py",43,43,"Function error_pages"
"csrf_middleware","sqli/middlewares.py",26,26,"Module sqli.middlewares"
"error_pages","sqli/middlewares.py",41,41,"Module sqli.middlewares"
"handle_40x","sqli/middlewares.py",61,61,"Module sqli.middlewares"
"handle_50x","sqli/middlewares.py",68,68,"Module sqli.middlewares"
"dictcomp","sqli/views.py",73,74,"Function student"
"dictcomp","sqli/middlewares.py",75,78,"Module sqli.middlewares"
"_init_redis","sqli/services/redis.py",10,10,"Module sqli.services.redis"
"_close_redis","sqli/services/redis.py",17,17,"Module sqli.services.redis"
"get_for_course","sqli/dao/review.py",18,18,"Class Review"
"students","sqli/views.py",52,52,"Module sqli.views"
"student","sqli/views.py",64,64,"Module sqli.views"
"courses","sqli/views.py",84,84,"Module sqli.views"
"course","sqli/views.py",97,97,"Module sqli.views"
"evaluate","sqli/views.py",135,135,"Module sqli.views"
"review","sqli/views.py",112,112,"Module sqli.views"
"logout","sqli/views.py",157,157,"Module sqli.views"
"get_by_username","sqli/dao/user.py",31,31,"Class User"
"check_password","sqli/dao/user.py",40,40,"Class User"
"lambda","sqli/views.py",74,74,"Function student"
