"name","file","start_line","end_line","param_count"
"main","build/CMakeFiles/3.28.3/CompilerIdC/CMakeCCompilerId.c",853,879,2
"main","build/CMakeFiles/CMakeScratch/TryCompile-2gdETs/src.c",1,1,0
"main","build/CMakeFiles/CMakeScratch/TryCompile-8tjLpe/src.c",1,1,0
"main","build/CMakeFiles/CMakeScratch/TryCompile-cXNP30/src.c",1,1,0
"main","build/CMakeFiles/CMakeScratch/TryCompile-d2Wzhk/src.c",1,11,0
"main","tests/test_basic.c",32,303,2
"main","tests/test_generate.c",42,317,2
"main","tests/test_msgpack.c",102,200,2
"main","tests/test_schema.c",134,169,2
"main","tests/test_speed.c",69,160,2
"ucl_object_emit_full","src/ucl_emitter.c",694,715,4
"ucl_object_emit_len","src/ucl_emitter.c",667,692,3
"ucl_object_emit","src/ucl_emitter.c",661,664,2
"ucl_emit_msgpack_end_array","src/ucl_emitter.c",655,658,2
"ucl_emit_msgpack_end_object","src/ucl_emitter.c",649,652,2
"ucl_emit_msgpack_start_array","src/ucl_emitter.c",642,646,4
"ucl_emit_msgpack_start_obj","src/ucl_emitter.c",635,639,4
"ucl_emit_msgpack_elt","src/ucl_emitter.c",546,632,4
"ucl_emit_yaml_end_array","src/ucl_emitter.c",543,543,2
"ucl_emit_yaml_end_object","src/ucl_emitter.c",543,543,2
"ucl_emit_yaml_start_array","src/ucl_emitter.c",543,543,4
"ucl_emit_yaml_start_obj","src/ucl_emitter.c",543,543,4
"ucl_emit_yaml_elt","src/ucl_emitter.c",543,543,4
"ucl_emit_config_end_array","src/ucl_emitter.c",542,542,2
"ucl_emit_config_end_object","src/ucl_emitter.c",542,542,2
"ucl_emit_config_start_array","src/ucl_emitter.c",542,542,4
"ucl_emit_config_start_obj","src/ucl_emitter.c",542,542,4
"ucl_emit_config_elt","src/ucl_emitter.c",542,542,4
"ucl_emit_json_compact_end_array","src/ucl_emitter.c",541,541,2
"ucl_emit_json_compact_end_object","src/ucl_emitter.c",541,541,2
"ucl_emit_json_compact_start_array","src/ucl_emitter.c",541,541,4
"ucl_emit_json_compact_start_obj","src/ucl_emitter.c",541,541,4
