"name","file","line","body"
"C_VERSION","build/CMakeFiles/3.28.3/CompilerIdC/CMakeCCompilerId.c",824,"""17"""
"PLATFORM_ID","build/CMakeFiles/3.28.3/CompilerIdC/CMakeCCompilerId.c",466,"""Linux"""
"COMPILER_VERSION_PATCH","build/CMakeFiles/3.28.3/CompilerIdC/CMakeCCompilerId.c",375,"DEC(__GNUC_PATCHLEVEL__)"
"COMPILER_VERSION_MINOR","build/CMakeFiles/3.28.3/CompilerIdC/CMakeCCompilerId.c",372,"DEC(__GNUC_MINOR__)"
"COMPILER_VERSION_MAJOR","build/CMakeFiles/3.28.3/CompilerIdC/CMakeCCompilerId.c",370,"DEC(__GNUC__)"
"COMPILER_ID","build/CMakeFiles/3.28.3/CompilerIdC/CMakeCCompilerId.c",369,"""GNU"""
"LONG_STRING_LIMIT","src/ucl_emitter_utils.c",509,"80"
"UCL_TRASH_VALUE","src/ucl_internal.h",145,"1"
"UCL_TRASH_KEY","src/ucl_internal.h",144,"0"
"UCL_MAX_RECURSION","src/ucl_internal.h",143,"16"
"__DECONST","src/ucl_internal.h",135,"((type) (uintptr_t) (const void *) (var))"
"kh_inline","klib/khash.h",150,"inline"
"AC_VERSION_KHASH_H","klib/khash.h",126,"""0.2.8"""
"kh_unused","klib/khash.h",156,"__attribute__((__unused__)) x"
"kroundup32","klib/khash.h",176,"(--(x), (x)|=(x)>>1, (x)|=(x)>>2, (x)|=(x)>>4, (x)|=(x)>>8, (x)|=(x)>>16, ++(x))"
"kcalloc","klib/khash.h",180,"calloc(N,Z)"
"kmalloc","klib/khash.h",183,"malloc(Z)"
"krealloc","klib/khash.h",186,"realloc(P,Z)"
"kfree","klib/khash.h",189,"free(P)"
"UCL64_BIT_HASH","src/ucl_hash.c",98,"1"
"MSGPACK_FLAG_FIXED","src/ucl_msgpack.c",427,"(1 << 0)"
"MSGPACK_FLAG_TYPEVALUE","src/ucl_msgpack.c",429,"(1 << 2)"
"MSGPACK_FLAG_ASSOC","src/ucl_msgpack.c",431,"(1 << 4)"
"MSGPACK_FLAG_CONTAINER","src/ucl_msgpack.c",428,"(1 << 1)"
"MSGPACK_FLAG_KEY","src/ucl_msgpack.c",432,"(1 << 5)"
"MSGPACK_FLAG_EXT","src/ucl_msgpack.c",430,"(1 << 3)"
"GET_NEXT_STATE","src/ucl_msgpack.c",860,"do { container = ucl_msgpack_get_next_container(parser); if (container == NULL) { ucl_create_err(&parser->err, ""empty container""); return false; } next_state = container->obj->type == UCL_OBJECT ? read_assoc_key : read_array_value; } while (0)"
"CONSUME_RET","src/ucl_msgpack.c",843,"do { if (ret != -1) { p += ret; remain -= ret; obj_parser = NULL; assert(remain >= 0); } else { ucl_create_err(&parser->err, ""cannot parse type %d of len %u"", (int) obj_parser->fmt, (unsigned) len); return false; } } while (0)"
"FROM_BE64","src/ucl_msgpack.c",95,"SWAP_LE_BE64"
"SWAP_LE_BE64","src/ucl_msgpack.c",56,"((uint64_t) __builtin_bswap64((uint64_t) (val)))"
"FROM_BE32","src/ucl_msgpack.c",94,"SWAP_LE_BE32"
"SWAP_LE_BE32","src/ucl_msgpack.c",55,"((uint32_t) __builtin_bswap32((uint32_t) (val)))"
"FROM_BE16","src/ucl_msgpack.c",93,"SWAP_LE_BE16"
"SWAP_LE_BE16","src/ucl_msgpack.c",51,"((uint16_t) ((uint16_t) ((uint16_t) (val) >> 8) | (uint16_t) ((uint16_t) (val) << 8)))"
"TO_BE64","src/ucl_msgpack.c",92,"SWAP_LE_BE64"
"TO_BE32","src/ucl_msgpack.c",91,"SWAP_LE_BE32"
"TO_BE16","src/ucl_msgpack.c",90,"SWAP_LE_BE16"
"TREE_DELTA_MAX","src/tree.h",46,"1"
"_HU_FUNCTION","src/tree.h",49,"__attribute__((__unused__)) x"
"NEXT_STATE","src/ucl_sexp.c",34,"do { if (p >= end) { if (state != read_ebrace) { ucl_create_err(&parser->err, ""extra data""); state = parse_err; } } else { switch (*p) { case '(': state = read_obrace; break; case ')': state = read_ebrace; break; default: len = 0; mult = 1; state = read_length; break; } } } while (0)"
"UCL_PRIORITY_MAX","include/ucl.h",1664,"15"
"UCL_PRIORITY_MIN","include/ucl.h",1663,"0"
"ucl_obj_free","include/ucl.h",1661,"ucl_object_free"
"ucl_obj_ref","include/ucl.h",1660,"ucl_object_ref"
"ucl_obj_unref","include/ucl.h",1659,"ucl_object_unref"
"ucl_obj_get_keyl","include/ucl.h",1658,"ucl_object_find_keyl"
"ucl_object_find_keyl","include/ucl.h",725,"ucl_object_lookup_len"
"ucl_obj_get_key","include/ucl.h",1657,"ucl_object_find_key"
"ucl_object_find_key","include/ucl.h",700,"ucl_object_lookup"
"ucl_obj_toboolean_safe","include/ucl.h",1656,"ucl_object_toboolean_safe"
"ucl_obj_toboolean","include/ucl.h",1655,"ucl_object_toboolean"
"ucl_obj_toint_safe","include/ucl.h",1654,"ucl_object_toint_safe"
"ucl_obj_toint","include/ucl.h",1653,"ucl_object_toint"
"ucl_obj_tolstring_safe","include/ucl.h",1652,"ucl_object_tolstring_safe"
"ucl_obj_tolstring","include/ucl.h",1651,"ucl_object_tolstring"
"ucl_obj_tostring_safe","include/ucl.h",1650,"ucl_object_tostring_safe"
"ucl_obj_tostring","include/ucl.h",1649,"ucl_object_tostring"
"ucl_obj_todouble","include/ucl.h",1648,"ucl_object_todouble"
"ucl_obj_todouble_safe","include/ucl.h",1647,"ucl_object_todouble_safe"
"ucl_iterate_object","include/ucl.h",861,"ucl_object_iterate"
"ucl_object_iterate","include/ucl.h",862,"ucl_object_iterate_with_error((ob), (it), (ev), NULL)"
"ucl_lookup_path_char","include/ucl.h",746,"ucl_object_lookup_path_char"
"ucl_lookup_path","include/ucl.h",735,"ucl_object_lookup_path"
"ucl_object_find_any_key","include/ucl.h",714,"ucl_object_lookup_any"
"UCL_WARN_UNUSED_RESULT","include/ucl.h",91,"__attribute__((warn_unused_result))"
"UCL_ALLOC","include/ucl.h",71,"malloc(size)"
"UCL_FREE","include/ucl.h",74,"free(ptr)"
"UCL_REALLOC","include/ucl.h",77,"realloc(ptr, size)"
"UCL_STRDUP","include/ucl.h",87,"ucl_strdup_impl(str)"
"DL_SEARCH2","uthash/utlist.h",754,"LL_SEARCH2"
"LL_SEARCH2","uthash/utlist.h",440,"do { LL_FOREACH2(head,out,next) { if ((cmp(out,elt))==0) break; } } while (0)"
"DL_SEARCH_SCALAR2","uthash/utlist.h",753,"LL_SEARCH_SCALAR2"
"LL_SEARCH_SCALAR2","uthash/utlist.h",430,"do { LL_FOREACH2(head,out,next) { if ((out)->field == (val)) break; } } while (0)"
"DL_SEARCH","uthash/utlist.h",752,"LL_SEARCH"
"LL_SEARCH","uthash/utlist.h",437,"LL_SEARCH2(head,out,elt,cmp,next)"
"DL_SEARCH_SCALAR","uthash/utlist.h",751,"LL_SEARCH_SCALAR"
"LL_SEARCH_SCALAR","uthash/utlist.h",427,"LL_SEARCH_SCALAR2(head,out,field,val,next)"
"UTLIST_VERSION","uthash/utlist.h",27,"2.3.0"
"oom","uthash/utstring.h",42,"abort"
"_UNUSED_","uthash/utstring.h",32,"__attribute__ ((__unused__))"
"UTSTRING_VERSION","uthash/utstring.h",29,"1.9.8"
"_MUM_BLOCK_LEN","src/mum.h",327,"1024"
"_MUM_UNALIGNED_ACCESS","src/mum.h",317,"1"
"_MUM_UNROLL_FACTOR","src/mum.h",229,"(1 << _MUM_UNROLL_FACTOR_POWER)"
"_MUM_UNROLL_FACTOR_POWER","src/mum.h",219,"2"
