"name","file","start_line","end_line","param_count"
"next","app/assets/vendor/bootstrap/bootstrap-tour.js",189,196,0
"index","app/routes/index.js",11,83,2
"start","app/assets/vendor/bootstrap/bootstrap-tour.js",175,187,1
"test","Gruntfile.js",96,108,0
"end","app/assets/vendor/bootstrap/bootstrap-tour.js",216,233,0
"prev","app/assets/vendor/bootstrap/bootstrap-tour.js",198,205,0
"exports","Gruntfile.js",14,194,1
"exports","test/e2e/plugins/index.js",17,23,2
"status","test/security/profile-test.js",226,244,0
"update","app/data/allocations-dao.js",18,55,5
"update","app/data/contributions-dao.js",17,54,5
"pause","app/assets/vendor/bootstrap/bootstrap-tour.js",246,259,0
"resume","app/assets/vendor/bootstrap/bootstrap-tour.js",261,282,0
"_debug","app/assets/vendor/bootstrap/bootstrap-tour.js",402,406,1
"ended","app/assets/vendor/bootstrap/bootstrap-tour.js",235,237,0
"init","app/assets/vendor/bootstrap/bootstrap-tour.js",156,173,1
"Tour","app/assets/vendor/bootstrap/bootstrap-tour.js",23,60,1
"addSteps","app/assets/vendor/bootstrap/bootstrap-tour.js",113,121,1
"restart","app/assets/vendor/bootstrap/bootstrap-tour.js",239,244,0
"afterSetState","app/assets/vendor/bootstrap/bootstrap-tour.js",36,36,2
"afterGetState","app/assets/vendor/bootstrap/bootstrap-tour.js",37,37,2
"afterRemoveState","app/assets/vendor/bootstrap/bootstrap-tour.js",38,38,1
"onStart","app/assets/vendor/bootstrap/bootstrap-tour.js",39,39,1
"onEnd","app/assets/vendor/bootstrap/bootstrap-tour.js",40,40,1
"onShow","app/assets/vendor/bootstrap/bootstrap-tour.js",41,41,1
"onShown","app/assets/vendor/bootstrap/bootstrap-tour.js",42,42,1
"onHide","app/assets/vendor/bootstrap/bootstrap-tour.js",43,43,1
"onHidden","app/assets/vendor/bootstrap/bootstrap-tour.js",44,44,1
"onNext","app/assets/vendor/bootstrap/bootstrap-tour.js",45,45,1
"onPrev","app/assets/vendor/bootstrap/bootstrap-tour.js",46,46,1
"onPause","app/assets/vendor/bootstrap/bootstrap-tour.js",47,47,2
"onResume","app/assets/vendor/bootstrap/bootstrap-tour.js",48,48,2
"setState","app/assets/vendor/bootstrap/bootstrap-tour.js",62,81,2
"removeState","app/assets/vendor/bootstrap/bootstrap-tour.js",83,94,1
"getState","app/assets/vendor/bootstrap/bootstrap-tour.js",96,111,1
"addStep","app/assets/vendor/bootstrap/bootstrap-tour.js",123,125,1
"getStep","app/assets/vendor/bootstrap/bootstrap-tour.js",127,154,1
"setCurrentStep","app/assets/vendor/bootstrap/bootstrap-tour.js",369,378,1
"_setupMouseNavigation","app/assets/vendor/bootstrap/bootstrap-tour.js",555,581,0
"_setupKeyboardNavigation","app/assets/vendor/bootstrap/bootstrap-tour.js",583,612,0
"_onResize","app/assets/vendor/bootstrap/bootstrap-tour.js",548,553,2
"showStep","app/assets/vendor/bootstrap/bootstrap-tour.js",314,363,1
"_makePromise","app/assets/vendor/bootstrap/bootstrap-tour.js",614,620,1
"_callOnPromiseDone","app/assets/vendor/bootstrap/bootstrap-tour.js",622,631,3
"hideStep","app/assets/vendor/bootstrap/bootstrap-tour.js",284,312,1
"_showNextStep","app/assets/vendor/bootstrap/bootstrap-tour.js",380,389,0
"_showPrevStep","app/assets/vendor/bootstrap/bootstrap-tour.js",391,400,0
"goTo","app/assets/vendor/bootstrap/bootstrap-tour.js",207,214,1
"endHelper","app/assets/vendor/bootstrap/bootstrap-tour.js",219,230,1
"_clearTimer","app/assets/vendor/bootstrap/bootstrap-tour.js",684,688,0
"_isLast","app/assets/vendor/bootstrap/bootstrap-tour.js",425,427,0
"hideStepHelper","app/assets/vendor/bootstrap/bootstrap-tour.js",293,309,1
"_hideBackdrop","app/assets/vendor/bootstrap/bootstrap-tour.js",644,647,0
"showStepHelper","app/assets/vendor/bootstrap/bootstrap-tour.js",323,360,1
"_isRedirect","app/assets/vendor/bootstrap/bootstrap-tour.js",408,410,2
"_redirect","app/assets/vendor/bootstrap/bootstrap-tour.js",412,419,2
"_isOrphan","app/assets/vendor/bootstrap/bootstrap-tour.js",421,423,1
"_showBackdrop","app/assets/vendor/bootstrap/bootstrap-tour.js",633,642,1
"_scrollIntoView","app/assets/vendor/bootstrap/bootstrap-tour.js",525,546,2
"_showOverlayElement","app/assets/vendor/bootstrap/bootstrap-tour.js",655,671,1
"_showPopover","app/assets/vendor/bootstrap/bootstrap-tour.js",429,482,2
"getCurrentStep","app/assets/vendor/bootstrap/bootstrap-tour.js",365,367,0
"showNextStepHelper","app/assets/vendor/bootstrap/bootstrap-tour.js",384,386,1
"showPrevStepHelper","app/assets/vendor/bootstrap/bootstrap-tour.js",395,397,1
"_reposition","app/assets/vendor/bootstrap/bootstrap-tour.js",484,515,2
