"name","file","start_line","end_line","scope"
"__repr__","tests/legacy_tests/test_recursive.py",10,10,"Class AnInstance"
"__repr__","lib/yaml/nodes.py",8,8,"Class Node"
"__repr__","lib/yaml/tokens.py",6,6,"Class Token"
"__repr__","lib/yaml/events.py",8,8,"Class Event"
"__eq__","tests/legacy_tests/test_constructor.py",32,32,"Class MyTestClass1"
"__eq__","tests/legacy_tests/test_constructor.py",91,91,"Class YAMLObject1"
"__eq__","tests/legacy_tests/test_constructor.py",111,111,"Class YAMLObject2"
"__eq__","tests/legacy_tests/test_constructor.py",127,127,"Class AnObject"
"__eq__","tests/legacy_tests/test_constructor.py",139,139,"Class AnInstance"
"__eq__","tests/legacy_tests/test_constructor.py",196,196,"Class Slots"
"__eq__","tests/legacy_tests/test_constructor.py",201,201,"Class MyInt"
"__eq__","tests/legacy_tests/test_constructor.py",207,207,"Class MyList"
"__eq__","tests/legacy_tests/test_constructor.py",214,214,"Class MyDict"
"__reduce__","tests/legacy_tests/test_constructor.py",180,180,"Class Reduce"
"__reduce__","tests/legacy_tests/test_constructor.py",184,184,"Class ReduceWithState"
"__getstate__","tests/legacy_tests/test_recursive.py",19,19,"Class AnInstanceWithState"
"__getstate__","tests/legacy_tests/test_constructor.py",105,105,"Class YAMLObject2"
"__getstate__","tests/legacy_tests/test_constructor.py",144,144,"Class AState"
"__getstate__","tests/legacy_tests/test_constructor.py",156,156,"Class ACustomState"
"__getstate__","tests/legacy_tests/test_constructor.py",164,164,"Class NewArgs"
"__getstate__","tests/legacy_tests/test_constructor.py",170,170,"Class NewArgsWithState"
"__init__","setup.py",125,125,"Class Distribution"
"__init__","setup.py",171,172,"Class Extension"
"__init__","lib/yaml/reader.py",26,26,"Class ReaderError"
"__init__","lib/yaml/reader.py",59,59,"Class Reader"
"__init__","lib/yaml/scanner.py",38,38,"Class SimpleKey"
"__init__","lib/yaml/scanner.py",48,48,"Class Scanner"
"__init__","examples/pygments-lexer/yaml.py",24,24,"Class YAMLLexerContext"
"__init__","lib/yaml/__init__.py",351,351,"Class YAMLObjectMetaclass"
"__init__","tests/legacy_tests/test_recursive.py",6,6,"Class AnInstance"
"__init__","lib/yaml/representer.py",18,18,"Class BaseRepresenter"
"__init__","tests/legacy_tests/conftest.py",26,26,"Class PyYAMLItem"
"__init__","tests/legacy_tests/conftest.py",47,47,"Class PyYAMLCollector"
"__init__","lib/yaml/nodes.py",3,3,"Class Node"
"__init__","lib/yaml/nodes.py",27,28,"Class ScalarNode"
"__init__","lib/yaml/nodes.py",36,37,"Class CollectionNode"
"__init__","tests/legacy_tests/test_constructor.py",28,28,"Class MyTestClass1"
"__init__","tests/legacy_tests/test_constructor.py",88,88,"Class YAMLObject1"
"__init__","tests/legacy_tests/test_constructor.py",101,101,"Class YAMLObject2"
"__init__","tests/legacy_tests/test_constructor.py",132,132,"Class AnInstance"
"__init__","tests/legacy_tests/test_constructor.py",191,191,"Class Slots"
"__init__","tests/legacy_tests/test_constructor.py",205,205,"Class MyList"
"__init__","tests/legacy_tests/test_constructor.py",211,211,"Class MyDict"
"__init__","tests/legacy_tests/test_constructor.py",218,218,"Class FixedOffset"
"__init__","lib/yaml/loader.py",13,13,"Class BaseLoader"
"__init__","lib/yaml/loader.py",23,23,"Class FullLoader"
"__init__","lib/yaml/loader.py",33,33,"Class SafeLoader"
"__init__","lib/yaml/loader.py",43,43,"Class Loader"
"__init__","lib/yaml/loader.py",57,57,"Class UnsafeLoader"
"__init__","lib/yaml/composer.py",13,13,"Class Composer"
"__init__","lib/yaml/emitter.py",18,21,"Class ScalarAnalysis"
